_id,tipo,estado,canal_entrada,fecha_entrada,fecha_contestacion,consejeria,unidad_descripcion,tema,subtema
22,Queja,Contestada al Ciudadano,LLAMADAS 012,2024-01-02T00:00:00,2024-02-07T00:00:00,"Consejería de Economía, Hacienda y Empleo",Dirección General del Servicio Público de Empleo,EMPLEO,OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
23,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-14T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,SALUD PÚBLICA
24,Queja,Contestada al Ciudadano,LLAMADAS 012,2024-01-02T00:00:00,2024-01-10T00:00:00,"Consejería de Cultura, Turismo y Deporte",Dirección General de Patrimonio Cultural,CULTURA,BIBLIOTECAS
25,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-19T00:00:00,"Consejería de Educación, Universidades, Ciencia y Portavocía",Dirección General de Recursos Humanos,EDUCACIÓN,PROFESORADO
26,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-03-06T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,CITA SANITARIA
27,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-13T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
28,Queja,Cancelada,INTERNET,2024-01-02T00:00:00,,"Consejería de Familia, Juventud y Asuntos Sociales","Dirección General de Infancia, Familia y Fomento de la Natalidad",POLÍTICAS SOCIALES,"INFANCIA, ACOGIMIENTO Y ADOPCIÓN"
29,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-05-21T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
30,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-02T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Dirección General de Atención a Personas con Discapacidad,POLÍTICAS SOCIALES,DISCAPACIDAD
31,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-15T00:00:00,Consorcio Regional de Transportes,,TRANSPORTES,METRO 
32,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-19T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,CITA SANITARIA
33,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-07T00:00:00,"Consejería de Economía, Hacienda y Empleo",Dirección General de Formación,EMPLEO,FORMACIÓN 
34,Sugerencia,Enviada a Otra Administración,INTERNET,2024-01-02T00:00:00,,"Consejería de Medio Ambiente, Agricultura e Interior",DG DE BIODIVERSIDAD Y RECURSOS NATURALES,MEDIO AMBIENTE,ENTORNO NATURAL
35,Queja,Cancelada,INTERNET,2024-01-02T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",,ATENCIÓN AL CIUDADANO,OTROS
36,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-26T00:00:00,"Consejería de Cultura, Turismo y Deporte",Dirección General de Patrimonio Cultural,CULTURA,BIBLIOTECAS
37,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-17T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",SERVICIO 012,ATENCIÓN AL CIUDADANO,TELÉFONO 012
38,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-23T00:00:00,Consorcio Regional de Transportes,,TRANSPORTES,"TARIFAS, ABONOS Y TÍTULOS"
39,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-26T00:00:00,"Consejería de Cultura, Turismo y Deporte",Dirección General de Patrimonio Cultural,CULTURA,BIBLIOTECAS
40,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-08T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",Dirección General de Justicia,JUSTICIA,OTROS
41,Queja,Cancelada,INTERNET,2024-01-03T00:00:00,,Consorcio Regional de Transportes,,TRANSPORTES,CARRETERAS
42,Queja,Cancelada,INTERNET,2024-01-03T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",Dirección General de Justicia,JUSTICIA,ÓRGANOS JUDICIALES
43,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-18T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,CITA SANITARIA
44,Queja,Recepcionada por Unidad,INTERNET,2024-01-03T00:00:00,,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Carreteras,TRANSPORTES,CARRETERAS
45,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-01-18T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
46,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-18T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,SALUD PÚBLICA
47,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-30T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,CITA SANITARIA
48,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-05-21T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
49,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-10T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales","Dirección General de Infancia, Familia y Fomento de la Natalidad",POLÍTICAS SOCIALES,FAMILIA
50,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-05-21T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
51,Queja,Cancelada,INTERNET,2024-01-03T00:00:00,,Consejería de Sanidad,,CULTURA,BIBLIOTECAS
52,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-15T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
53,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-05T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
54,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-02-02T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Dirección General de Atención a Personas con Discapacidad,POLÍTICAS SOCIALES,DISCAPACIDAD
55,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-04T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
56,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-08-12T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
57,Queja,Enviada a Otra Administración,PRESENCIAL,2024-01-03T00:00:00,,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
58,Agradecimiento,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-01-17T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
59,Queja,Cancelada,INTERNET,2024-01-03T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",Dirección General de Justicia,JUSTICIA,ÓRGANOS JUDICIALES
60,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-01-18T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
61,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-02-09T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,RESIDENCIAS
62,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-02-12T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
63,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-02-12T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
64,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-03T00:00:00,2024-01-23T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Dirección General de Servicios Sociales e Integración,POLÍTICAS SOCIALES,PRESTACIONES SOCIALES Y PENSIONES NO CONTRIBUTIVAS
81,Queja,Cancelada,INTERNET,2024-01-03T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",,OTROS,OTROS
65,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-04T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
66,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-09T00:00:00,Consejería de Sanidad,Dirección General de Salud Pública,SANIDAD,CITA SANITARIA
67,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-06T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
68,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-08T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
69,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-17T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",SERVICIO 012,ATENCIÓN AL CIUDADANO,TELÉFONO 012
70,Agradecimiento,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-02-02T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
71,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-06T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
72,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-06T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
73,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-02-21T00:00:00,Agencia para la Administración Digital de la Comunidad de Madrid,,EMPLEO,OTROS
74,Sugerencia,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-26T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",Boletín Oficial de la Comunidad de Madrid,ATENCIÓN AL CIUDADANO,TELÉFONO 012
75,Agradecimiento,Cancelada,INTERNET,2024-01-03T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",,ATENCIÓN AL CIUDADANO,OTROS
76,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-02-12T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
77,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-05T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
78,Queja,Enviada a Otra Administración,INTERNET,2024-01-03T00:00:00,,"Consejería de Economía, Hacienda y Empleo",,EMPLEO,EMPLEO
79,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-02-07T00:00:00,"Consejería de Educación, Universidades, Ciencia y Portavocía",Dirección del Área Territorial de Madrid -Oeste,EDUCACIÓN,SECUNDARIA OBLIGATORIA Y BACHILLERATO
80,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-15T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
82,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-10T00:00:00,"Consejería de Economía, Hacienda y Empleo","Dirección General de Comercio, Consumo y Servicios",ECONOMIA,CONSUMO
83,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-01-09T00:00:00,"Consejería de Educación, Universidades, Ciencia y Portavocía",Dirección del Área Territorial de Madrid-Este,EDUCACIÓN,PROFESORADO
84,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-05-21T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
85,Queja,Contestada al Ciudadano,INTERNET,2024-01-03T00:00:00,2024-03-05T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
86,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-02-07T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
87,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-03-05T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
88,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-04T00:00:00,2024-01-18T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
89,Queja,Contestada al Ciudadano,LLAMADAS 012,2024-01-04T00:00:00,2024-01-10T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Dirección General de Atención a Personas con Discapacidad,POLÍTICAS SOCIALES,DISCAPACIDAD
90,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-10T00:00:00,"Consejería de Educación, Universidades, Ciencia y Portavocía",Dirección del Área Territorial de Madrid Capital,EDUCACIÓN,INFANTIL Y PRIMARIA
91,Sugerencia,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-15T00:00:00,Consorcio Regional de Transportes,,TRANSPORTES,METRO 
92,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-26T00:00:00,"Consejería de Cultura, Turismo y Deporte",Dirección General de Patrimonio Cultural,CULTURA,BIBLIOTECAS
93,Agradecimiento,Cancelada,INTERNET,2024-01-04T00:00:00,,"Consejería de Economía, Hacienda y Empleo",Dirección General del Servicio Público de Empleo,EMPLEO,OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
94,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-03-06T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,SALUD PÚBLICA
95,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-04T00:00:00,2024-03-12T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
96,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-17T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",SERVICIO 012,ATENCIÓN AL CIUDADANO,TELÉFONO 012
268,Queja,Contestada al Ciudadano,INTERNET,2024-01-09T00:00:00,2024-01-12T00:00:00,Consorcio Regional de Transportes,,TRANSPORTES,AUTOBUSES INTERURBANOS
97,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-04T00:00:00,2024-03-06T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
98,Queja,Contestada al Ciudadano,LLAMADAS 012,2024-01-04T00:00:00,2024-01-29T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Agencia de Vivienda Social,VIVIENDA,VIVIENDAS DEL IVIMA
99,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-19T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
100,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-03-06T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
101,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-26T00:00:00,"Consejería de Cultura, Turismo y Deporte",Dirección General de Patrimonio Cultural,CULTURA,BIBLIOTECAS
102,Queja,Enviada a Otra Administración,INTERNET,2024-01-04T00:00:00,,Agencia para la Administración Digital de la Comunidad de Madrid,,EMPLEO,OFICINA ELECTRÓNICA
103,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-04T00:00:00,2024-01-18T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",SERVICIO 012,ATENCIÓN AL CIUDADANO,TELÉFONO 012
104,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-15T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
105,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-05T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,AYUDAS
106,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-04T00:00:00,2024-03-05T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales","Dirección General de Infancia, Familia y Fomento de la Natalidad",POLÍTICAS SOCIALES,"INFANCIA, ACOGIMIENTO Y ADOPCIÓN"
107,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-10T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales","Dirección General de Infancia, Familia y Fomento de la Natalidad",POLÍTICAS SOCIALES,FAMILIA
108,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-10T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,ENERGÍA,N/A
109,Queja,Enviada a Otra Administración,INTERNET,2024-01-04T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",,URBANISMO,OTROS
110,Queja,Cancelada,INTERNET,2024-01-04T00:00:00,,"Consejería de Medio Ambiente, Agricultura e Interior",,ENERGÍA,Sin valor
111,Queja,Recepcionada por Unidad,INTERNET,2024-01-04T00:00:00,,"Consejería de Medio Ambiente, Agricultura e Interior",Dirección General de Transición Energética y Economía Circular,ENERGÍA,N/A
112,Queja,Cancelada,INTERNET,2024-01-04T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",,ATENCIÓN AL CIUDADANO,OTROS
113,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-10T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales","Dirección General de Infancia, Familia y Fomento de la Natalidad",POLÍTICAS SOCIALES,FAMILIA
114,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-05-21T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
115,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-10T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Subdirección General de Inspección de Centros y Servicios Sociales,POLÍTICAS SOCIALES,RESIDENCIAS
116,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-12T00:00:00,"Consejería de Economía, Hacienda y Empleo","Dirección General de Comercio, Consumo y Servicios",CONSUMO,N/A
117,Agradecimiento,Cancelada,INTERNET,2024-01-04T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",,ATENCIÓN AL CIUDADANO,OTROS
118,Queja,Contestada al Ciudadano,INTERNET,2024-01-04T00:00:00,2024-01-30T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Dirección General de Atención a Personas con Discapacidad,POLÍTICAS SOCIALES,DISCAPACIDAD
119,Queja,Contestada al Ciudadano,INTERNET,2024-01-05T00:00:00,2024-01-26T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
120,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-05T00:00:00,2024-02-14T00:00:00,"Consejería de Economía, Hacienda y Empleo",Dirección General del Servicio Público de Empleo,EMPLEO,OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
121,Queja,Enviada a Otra Administración,INTERNET,2024-01-05T00:00:00,,"Consejería de Educación, Universidades, Ciencia y Portavocía","Dirección General de Educación Concertada, Becas y Ayudas al Estudio",EDUCACIÓN,"BECAS, AYUDAS Y SUBVENCIONES"
122,Queja,Contestada al Ciudadano,INTERNET,2024-01-05T00:00:00,2024-01-16T00:00:00,"Consejería de Economía, Hacienda y Empleo",Dirección General de Autónomos y Emprendimiento,ECONOMIA,AUTÓNOMOS
123,Agradecimiento,Cancelada,PRESENCIAL,2024-01-05T00:00:00,,"Consejería de Economía, Hacienda y Empleo",Dirección General del Servicio Público de Empleo,EMPLEO,OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
124,Agradecimiento,Cancelada,PRESENCIAL,2024-01-05T00:00:00,,"Consejería de Economía, Hacienda y Empleo",Dirección General del Servicio Público de Empleo,EMPLEO,OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
125,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-05T00:00:00,2024-01-18T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Agencia Madrileña de Atención Social,POLÍTICAS SOCIALES,MAYORES
